anger_index,feature_0,feature_1
0.583,63.87,135.0
0.438,-513.98,40.0
0.5,78.71,140.0
0.562,67.76,75.0
0.562,84.52,138.0
0.479,58.43,129.0
0.771,88.37,114.0
0.479,84.52,127.0
0.625,35.95,71.0
0.542,15.41,143.0
0.521,56.71,59.0
0.75,80.78,106.0
0.667,95.69,71.0
0.604,49.53,139.0
0.396,76.23,113.0
0.354,82.39,54.0
0.562,80.68,133.0
0.562,78.25,105.0
0.688,87.86,140.0
0.417,91.0,10.0
0.479,88.91,62.0
0.438,87.86,124.0
0.396,100.24,37.0
0.375,90.96,31.0
0.458,87.95,30.0
0.458,87.95,60.0
0.708,-21.76,30.0
0.766,40.62,140.0
0.562,73.15,139.0
0.396,73.85,33.0
0.521,46.95,131.0
0.375,91.53,131.0
0.354,68.98,103.0
0.479,88.37,141.0
0.375,78.81,110.0
0.167,82.39,51.0
0.479,41.86,72.0
0.25,67.76,101.0
0.375,66.37,122.0
0.562,22.81,140.0
0.583,84.84,85.0
0.708,10.57,66.0
0.188,102.05,50.0
0.5,53.64,140.0
0.521,68.98,103.0
0.667,58.43,131.0
0.479,80.79,135.0
0.375,47.31,76.0
0.458,80.68,130.0
0.708,72.33,131.0
0.688,100.24,35.0
0.333,92.87,108.0
0.771,66.62,137.0
0.465,90.83,124.0
0.646,66.8,63.0
0.542,124.69,48.0
0.292,72.99,127.0
0.479,61.89,89.0
0.396,84.18,139.0
0.375,52.27,133.0
0.292,86.71,54.0
0.5,88.37,111.0
0.479,84.9,78.0
0.688,77.81,85.0
0.375,85.14,95.0
0.917,84.8,110.0
0.354,31.71,127.0
0.75,91.0,24.0
0.531,-1.25,50.0
0.417,78.81,126.0
0.375,103.62,58.0
0.333,62.63,146.0
0.5,90.09,76.0
0.458,17.46,41.0
0.646,65.79,132.0
0.438,49.55,60.0
0.396,65.17,133.0
0.625,60.19,100.0
0.583,56.97,132.0
0.438,65.3,140.0
0.542,68.1,140.0
0.188,54.74,24.0
0.333,83.33,39.0
0.875,87.95,32.0
0.438,61.25,77.0
0.396,54.74,20.0
0.562,66.41,27.0
0.375,81.73,139.0
0.292,86.71,55.0
0.625,76.73,131.0
0.5,47.39,144.0
0.292,103.38,59.0
0.396,53.55,137.0
0.208,34.62,17.0
0.479,62.11,130.0
0.917,-8.09,87.0
0.5,76.82,125.0
0.354,78.25,113.0
0.479,70.15,90.0
0.604,40.53,137.0
0.542,95.73,80.0
0.896,90.83,134.0
0.5,58.41,114.0
0.663,61.89,105.0
0.354,67.76,72.0
0.771,74.27,102.0
0.479,78.25,64.0
0.764,88.83,109.0
0.271,-200.12,53.0
0.438,66.63,137.0
0.771,76.56,140.0
0.543,75.12,101.0
0.417,95.17,67.0
0.729,71.78,99.0
0.562,86.71,68.0
0.375,61.33,61.0
0.375,84.46,90.0
0.562,54.74,23.0
0.688,89.9,80.0
0.254,87.95,48.0
0.479,15.41,129.0
0.417,83.85,92.0
0.375,57.24,71.0
0.542,73.15,142.0
0.583,89.59,91.0
0.604,6.43,31.0
0.792,85.14,121.0
0.542,93.48,133.0
0.604,103.38,49.0
0.542,69.76,127.0
0.25,80.1,90.0
0.667,66.15,139.0
0.542,102.05,27.0
0.396,57.24,70.0
0.76,46.07,134.0
0.396,95.42,90.0
0.417,100.24,41.0
0.354,26.69,140.0
0.333,84.84,90.0
0.5,69.47,128.0
0.263,113.1,50.0
0.5,90.09,90.0
0.698,57.24,77.0
0.219,60.19,124.0
0.625,82.39,41.0
0.491,79.58,140.0
0.646,76.83,119.0
0.348,83.77,104.0
0.479,94.3,81.0
0.708,76.32,133.0
0.833,84.46,116.0
0.771,95.21,128.0
0.229,103.62,79.0
0.312,66.1,90.0
0.854,69.81,138.0
0.333,61.67,102.0
0.333,73.85,90.0
0.625,89.25,93.0
0.417,80.68,112.0
0.396,61.25,49.0
0.458,56.71,59.0
0.688,61.89,142.0
0.146,83.01,97.0
0.333,80.25,137.0
0.354,89.9,97.0
0.625,78.25,67.0
0.521,76.56,112.0
0.625,72.72,134.0
0.481,84.52,140.0
0.75,96.03,64.0
0.312,103.62,71.0
0.458,86.08,115.0
0.375,67.33,97.0
0.271,80.79,97.0
0.583,91.0,26.0
0.625,83.85,86.0
0.521,71.06,122.0
0.417,103.05,41.0
0.521,-29.84,50.0
0.729,91.0,16.0
0.188,-46.68,61.0
0.417,120.21,19.0
0.593,76.5,92.0
0.354,-221.17,31.0
0.604,65.73,91.0
0.312,75.88,20.0
0.479,68.98,87.0
0.583,69.47,134.0
0.542,66.8,90.0
0.75,-52.01,23.0
0.356,97.03,25.0
0.396,69.64,138.0
0.417,65.3,139.0
0.5,51.18,136.0
0.167,103.01,60.0
0.583,65.17,138.0
0.417,60.63,140.0
